Serial No,App Name,Review Comments
,,its very easy to use...😍 and more useful to me..tiz is the bst app for cardiac student.. bcz tiz app bst teacher to cardiac students ☺☺ Nd i really loved it 😘
,,Excellent app to understand heart conditions and procedures.very helpful.
,,Couldn't register myself in 10 mnts time also...it kept showing registering !!
,,Awesome app. Very much useful too. Must have app in Your smartphone.
,,Very poor not at all opening properly. Keep on closing
,,very good educational app on heart conditions.
,,needs to open an account and log in and all that's time wasting
,,Third class app. Time waste.
,,very helpful information for heart patients...
,,It gives good information and correct information about our heart
,,It must check blood pressure
,,so informative and clearly described
,,This app has improved my knowledge Imparting skills.
,,"Very, very educative."
,,becoming aware of cardio secrecy that renders my behavior more subjectively practical & conscious against certain risks that may jeopardize my well being at a certain degree!!!why you need camera as for I got your info quiet good without camera. What's up with your ackward request so far which I disapprove openly. Tks.
,,I just downloaded the app and open it then it ask for update what the stupidity
,,Not sure.. it is correct ??
,,Having trouble contacting my Dr.' s staff
,,I think you have done well
,,it is very useful for my MBBS studies
,,Doesnt measure your heart beat
,,very good information
,,it's working 😮
,,Good app it help me 
,,Excellent
,,Wahoo
,,nice
,,good program
,,zip
,,good app
,,good
,,nice work
,,Wrost apppppp 
,,nyc
,,v good
,,great app
,,Do not waste your time!!!
,,Crappy
,,"Very useful app for curious learners, must use it to learn about heart"
,,Dislike
,,informative
,,This app is very usual and it is worth to use ........ Please doowbload this app ....... It is very useful
,,It's a Right data information?
,,Worst app
,,useful 
,,Good information
,,nice
,,Not responding
,,"This is the best app on heart conditions I have seen so far! user friendly, videos download within seconds and the depiction is very clear and precise. highly recommended for heart patients and their families... . love the new look of the app! search and favourite options are very useful :) exactly want I have been looking for..great upgrades!"
,,A great way to educate yourself on complicated conditions. Helped me have productive discussions with my doctor & understand what he was saying better!
,,A very good App but not all videos can be downloaded and also if the app can be moved to the SD card it would be great.
,,The app is giving knowledge. if U list the medicines useful to solve such symptoms and problems it will benefit persons having knowledge
,,"It quit working, opens to a blank page."
,,Very informative because sometimes our cardio docs don't have time to tell us everything about our heart condition. Thanks
,,This is an amazing app! The videos are extremely well done and helpful for understanding complex concepts. Thank you!
,,New version will not open after allowing access.
,,Bhangar app don't work at all
,,Very Useful for Patient Education
,,som app for doctors and medical student
,,"Allah bless you, it's an escellent application 🖒🖒🖒"
,,Life is knowledge..
,,This is very good app for the medical cam students
,,Not good
,,good app
,,excellent
,,thnaks
,,Good initiative. Well explained. Can you please tell me that is it possible to reduce narrow vain with food and exercise? Thanks.
,,Thanks as you are try to eradicate all this deadly diseases
,,"Nice app,the fact that I can check for info offline makes it good."
,,Excellent app! It's the answer to many health conditions
,,"Very informative , helps me understand illnesses as well as how to take early action etc"
,,It really an amazing app I love it so much but seems like am finding it difficult to go online this days.
,,"Small app but useful app to us to be aware of what treatments, causes and prevention we have to do 
if we have these disorders/ diseases."
,,Cant open this app despite downloaded the app. Please work more on this and let there be improvement
,,Very informative and health dictionary for us all also highly essential companion.
,,"Dieses treatment application,is a new one to me and very important in the general life of my entire
 family and public.Even though I,am not a medical practitioner,but at least I,need that experience in
 present and future. It is easy to use as I,ve tried.I do appreciate the developer for for his work to the
 entire world and the universe."
,,"User friendly and very informative., I recommend it as a very vital source of medical information."
,,"These issues are very important, this app great knowledge."
,,Awesome and very knowedgefull application.
,,Please add illustration. Otherwise very informative.
,,Please add illustration. Otherwise very informative.
,,Amazing App after installing this app i see myself as a Doctor... Thank you for making This App
,,"My experience with the app has been great, the app is very helpful and educative."
,,It is very good app. Comes handy at times.
,,The app is 100% informative and covers everything deseas related.
,,Good app and the English used in is clear and understandable
,,It's very useful for nermul peoples can usualy read and understood.
,,"Good information for all Individuals which give them information they can use along with their 
Doctor's views."
,,Helpful & educational also easy to understand and follow.
,,"Woooo Am in love with this app. Though am not a nurse or doctor but I can take care of my family
 health though this"
,,"I love this app .. Saw first when i was searching something else and saw this app... After checking
 the ratings of this i qas installed it and now got too much knowledge from this app"
,,Good app. Thanks
,,"Good job, but explanations is deeply scientific"
,,I am a new user.
,,Its a good app
,,nice app
,,100% EXCELLENT
,,great job
,,"It's what I've been looking for; I have a couple of friends with blood problems, and this app will help 
me help them. Fantastic work."
,,This app will help me to increase my knowledge.
,,Please detail hindi ya Marathi language jo samaj sake
,,very well app for knowing about blood dieases
,,Might be a good thing to me.
,,Super its more useful
,,I think so much appreciated
,,I like this application. it is very useful for medical profession.
,,It's really interesting
,,This is what I want
,,Superb this is a good app
,,Very good app
,,include more article
,,Very nice app
,,very informative
,,Very nice app
,,Very fine app
,,Very fine app
,,Please explain with videos
,,Excellent app
,,very good
,,Excellent app
,,very nice
,,quiet ok
,,Useful app
,,nice
,,"The application is beyond description. It's very good for both health care professionals and any 
other person whose health is important to him or her."
,,but I can't see the Multiple Myeloma
,,but I can't see the Multiple Myeloma
,,good but need more topics/diseases
,,Its A use full app
,,Excellent. Great detail.
,,all is well
,,A nice
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Dharam jeet chaudhary 894@gmail. Com Health
,,Very Useful App to know about heart attack symptoms. .
,,Great app sir . Excellent work and true information...nice Dr Rejeev sir ji
,,Excellent app for every person who cares about his health. Download it now
,,Life saver!! Wonderful app. I hope people use it!
,,It's very useful and helpful for our health.
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,"Love it,easy to use."
,,Very good app
,,Very very useful
,,So Nice app...
,,Loved it!!
,,best good
,,good
,,"Fantastic initiative taken by Dr Rajeev rathi. It inform heart Patient about there disease also how to tackle
 if you are in trouble."
,,"As someone with a congenital heart defect making the age limit 40 makes it utterly useless for people 
who are in the 20s and would like a good baseline to go off of"
,,Saved me in my attack.
,,This is true. App
,,Awesome app Request all are download
,,Very Good App
,,Most useful for everyone
,,Love verma Great
,,Im also recommend it
8,TreatHF,
,,Too good.
,,Wanting accesd to my photo's etc is not on ..your suppose to educate not use my personal information for your use..
,,Can't get past the 'enter your details' page. Submit button doesn't work.
,,Nice
,,good app
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,,Interesting
,,Good
,,Good work
,,A nice
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Dharam jeet chaudhary 894@gmail. Com Health
,,Hiv AIDS allocation Nop care
,,See whAt I have
,,It's good for study material
,,It really helps me a lot .
,,please translucent toshiba urdu please
,,Learningfull
,,thanks great job
9,ASCVD Risk Estimator Plus,
,,"Good job, but explanations is deeply scientific"
,,thanks
,,well done
,,"useful and helpful app very userfriendly app , one can even chek ur riskfactor for heart attack"
,,Great selfless job by Dr rajeev. Hope people use and share it to reduce the disease burden.
,,Wonderful app!! Easy to use and extremely helpful for the entire family. Highly recommended!
,,"Superb app. Really Speaking, i loved this app. This app is so simple & informative that anyone can
 operate this app. Thanks Dr. Rajeev for inventing such an App."
,,Very Useful App to know about heart attack symptoms. .
,,Great app sir . Excellent work and true information...nice Dr Rejeev sir ji
,,Excellent app for every person who cares about his health. Download it now
,,Life saver!! Wonderful app. I hope people use it!
,,It's very useful and helpful for our health.
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,"Love it,easy to use."
,,Very good app
,,Very very useful
,,So Nice app...
,,Loved it!!
,,best good
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Dharam jeet chaudhary 894@gmail. Com Health
,,Please detail hindi ya Marathi language jo samaj sake
,,very well app for knowing about blood dieases
,,Might be a good thing to me.
,,Super its more useful
,,I think so much appreciated
,,I like this application. it is very useful for medical profession.
,,It's really interesting
,,This is what I want
,,Superb this is a good app
,,Very good app
,,include more article
,,Very nice app
,,very informative
,,Very nice app
,,Very fine app
,,Very fine app
,,Please explain with videos
,,Excellent app
,,very good
,,Excellent app
,,very nice
,,quiet ok
,,Useful app
,,nice
,,"The application is beyond description. It's very good for both health care professionals and any 
other person whose health is important to him or her."
,,but I can't see the Multiple Myeloma
,,but I can't see the Multiple Myeloma
,,good but need more topics/diseases
,,Its A use full app
,,Excellent. Great detail.
,,all is well
,,A nice
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Its nicest medical app
,,Not opening
,,Well I am a med student and this app helped me with somethings regarding heart disease.
,,"I am willing to known about heart problems and this app helped me lot to get information about heart
 problems , causes , symptoms"
,,It's really great for the fire/EMS field
,,This is simply helpful.
,,A really useful app for Med students.
,,Good App
,,Nice
,,Good
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,,Interesting
,,Good
,,Nice
10,CDC,
,,"helpful! wish there were checkboxes for ""risk enhancers"", specifically HIV. If those were there, I'd make it a 5 star rating. otherwise, it's great!"
,,excellent app. i use it everyday in my practice
,,"I have just calculated the same risk in heart disease calculator and got 6.5% risk, so I am not sure which is which especially on the basis of evidence based medicine, nevertheless I am trusting ACC (American College of Cardiology)"
,,The app is useless. It does not allow calculation for patients older than 59.
,,this is very helpfully app for clinical assessments
,,very useful and practical
,,very helpful tool
,,Doesn't work anymore
,,The Best
,,good
,,Fantastic
,,perfect
,,Automatic update to plus. You added med recommendations previous data etc....but text is too big. What happened to th aesthetically pleasing version that would not freeze up when going from tab to tab...needs more work. Otherwise great bedside calculator!
,,good
,,Needs patch. Not able to calculate above age 59 despite saying you can calculate to 79.
,,good for use
,,"I used to love this app, but now it refuses to calculate risk in anyone over age 59. That needs to be fixed. Thanks"
,,No data for age above 59!! Fix it!
,,"SI unit change to mmol, but in my phone the pad does not have a "" . "" "" decimal"" point ??"
,,"Use almost daily in clinical practice as a PCP. The patient info entry seems a little cumbersome post update, not sure how to rectify that."
,,"Tells me that they need a high intensity statin, but doesn't tell me what dose is considered to be high intensity. Other apps are more helpful."
,,"needed to wipe the app & restart it. Now after that? Works perfectly. Thanks heart people! //Tried to get my assessment, but even after completing the first section, it still says ""all fields required"". But they're all filled in! Sigh."
,,"Please fix it!!! Halts and locks up when trying to move between tabs and pages... Don't understand why it should behave so erratically. User should be able to ""reset"" it to input different parameters easily... I often just restart it. Kludgy."
,,"Very good app Loved the app. I wish they could allow for both mg/dl and mmol/l, have to convert first its a bit tedious"
,,"Previous version worked perfectly and I used it every day in my office. This ""Plus"" one, to which I was updated without my consent, does not even allow data input with numerical keyboard. An excellent app ruined. Uninstalled."
,,Love it! I like that I can plug in my patient's numbers and show them their risk right in their lab review session.
,,"Please add SI units Good interface and accurate scientific content, but unusable outside the US without the option to input standard units (mmol/L) for cholesterol levels."
,,"Layout looks good Appears to be easy to use with great supplemental information on diet, exercise, monitoring, etc... Good addition to my practice."
,,What an app! Best app for cv risk calculator. No problem encountered. Summary recommendation is awesome. This sums up the 85 page pdf file from ACC/AHA.
,,"Works as Expected, but... I like all of the useful information that I received from this app. I gave it four stars b/c it would not accept my real total cholesterol value of 108. I had to input 130 instead to get a calculated result."
,,Extremely cumbersome to enter data and to convert units eg metric to non metric measurements and American to international units. The rotating wheel format is much more time consuming than direct numeric entry.
,,"Have to re load for new phone, won't carryover.Otherwise excellent"
,,"CVD Risk Calculator Awesome for health care providers, and good source of info for patients."
,,Stinks How can you make an app that tells me that I am in error when I enter my cholesterol levels? Do NOT download this app if you have FH; it wont help you at all.
,,Needs SI units please! Many countries look to these recommendations but their labs report in SI units. This would be a major improvement.
,,"Easy to use. Includes great information in addition to the risk rating, such as station intensity table."
,,"useful but... very useful but as most of the world uses si units for biochemistry, it would be most useful if these would be included."
,,Please include accept values in micromoles/L as well...
,,Great tool for med students Great for third and fourth year clerkships especially in primary care specialties.
,,Good job I have been impressed with the application it has made our life easier
,,Heart Risk Excellent app. Especially medical providers
,,Estimeter Prognosis delear.
,,Excellent It's very use full to drs and medical pg student's
,,Acceptable Needs much more flexibility for SI and conventional units.
,,Excelleny What a grt tool free of cast and easy to use
,,The most helpful of all offline med calculators
,,Must have for med student Quick and very useful
,,Mind blowing This app's hella amazing.
,,Good cvd indicator Includes genetics too
,,Great application..... Ideal summary of ACC/AHA guideline
,,100% Recomendable 100%
,,Does what I need it to do. Plain and simple.
,,Excellent app with accurate scientific content.
,,"Good job, but explanations is deeply scientific"
,,thanks
,,well done
,,"useful and helpful app very userfriendly app , one can even chek ur riskfactor for heart attack"
,,Great selfless job by Dr rajeev. Hope people use and share it to reduce the disease burden.
,,Wonderful app!! Easy to use and extremely helpful for the entire family. Highly recommended!
,,"Superb app. Really Speaking, i loved this app. This app is so simple & informative that anyone can
 operate this app. Thanks Dr. Rajeev for inventing such an App."
,,Very Useful App to know about heart attack symptoms. .
,,Great app sir . Excellent work and true information...nice Dr Rejeev sir ji
,,Excellent app for every person who cares about his health. Download it now
,,Life saver!! Wonderful app. I hope people use it!
,,It's very useful and helpful for our health.
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,"Love it,easy to use."
,,Very good app
,,Very very useful
,,So Nice app...
,,Loved it!!
,,best good
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,NP Cardiology
,,Great tool for family physicians
,,Thank u fr making it
,,A useful tool
,,Good Very good
,,Great Super information
,,Awesome Great app
,,Great app.
,,"The app used to work seamlessly on my MI tab.. but since the last update, the app simply wouldn't 
open and crashes each time. its good to have updates, but not such that the app becomes defunct 
on slightly older devices. kindly make necessary modifications so that it continues to work just as 
perfe..."
,,"Why does a guidelines app need access to my files? No, I don't think so."
,,Didn't work at all on Google Pixel.
,,Crashes on starting on HAWAII MEDIAPAD T8
,,AMAZING very user Friendly informative
,,Its very easy to use and very fast to review
,,Excellent experience
,,Excellent app.
,,very helpful
,,very helpful
,,Best app
,,Fantastic app
,,great
,,great
,,Please update valvular heart disease and add syncope guidlines.Excellent work by ACC.
,,Current guidelines and risk calculators.
,,plz add exit option for application..otherwise excellent app
,,I am a practicing Pa for 18+ yrs & a PA professor and I highly recommend this app to all my students!
,,Thank you for such a wonderful app . All the most impoRtant guidelines at fingertips
,,"Great app, please update and add congenital guidelines"
,,Excellent app. I like it. Very easy to work with it. Thank you so much.
,,Wow
,,I am a Cath lab RN and this is very helpful
,,Very easy to revise important points of guidelines
,,Excellent straightforward reference
,,Can make it completely offline
,,Prompt
,,Veey useful app.. keep updating
,,Very helpful and updated
,,great...superb!
,,Excellent app
,,Excellent app
,,Good app
,,"Why the my tools tab is not working anymore. It just hangs and shuts the app. And no change in it 
after reinstalling the app. Any new bug?"
,,"Cardiology APN Loves this app! Everything you need all in one place, from the source...what more could
 you ask for. Use daily!"
,,Umm... what?! What's up with all these new permissions?
,,A must app
,,Excellent Very informative
,,Very helpful app. Thank you
,,Dr A.Muqtadir Excellent
,,Great apps
,,"No way to exit the app except by pressing the Home button. The back function also goes though ALL 
previous steps even from PREVIOUS usage of the app (a day or a week ago, for example) There should 
be a SMART back function. The app content is good, but the implementation needs to be improved."
,,Wonderful Thank you so much for creating this wonderful resource.
,,Awesome Great for students. Currently on clinical rotations for pharmacy. Updates often. Easy to use.
,,App display crashes
,,Very Very goode
,,Excellent.
,,"Good app It works good. Would like to see all the guidelines in the app not just the ones that got recent 
updates."
,,Bug fixes???? Permissions Why do bug fixes need all of my personal data?? Uninstalling....
,,Excellent
,,Simply the Best !
,,good
,,"The app sounds very helpful but the disease states icon is very small and the guideline section that pops
 up is also very small it is illegible for me to use. Maybe I have the settings wrong but I've tried to change 
it. Please help, thanks."
,,"Ok but needs more Avialable guidelines are ok but a great many more are missing and not yet included. 
Please incorporate them."
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Dharam jeet chaudhary 894@gmail. Com Health
,,Hiv AIDS allocation Nop care
,,See whAt I have
,,It's good for study material
,,It really helps me a lot .
,,please translucent toshiba urdu please
,,Learningfull
,,thanks great job
,,Nice Ok good
,,thanks
,,Ilike
,,Nice application.
,,useful
,,Awesome!
,,very good
,,Nice Niche
,,good knowledge
,,is good
,,Nice app
,,it nice
,,Nice
,,excellent
,,good
,,excellent
,,"Another medical app that has an ad bar at the bottom that you can't get rid of which prevents you
 from advancing the app to the next section. Deleting it!"
,,"All blood diseases is extremely misleading! Try a small few, and repeated. This needs to be removed."
,,"Only One Problem"" the text is to small, other than that this APP is absolutely vital!!!"
,,Awesome app! Would definitely recommended.
,,Very good and quality
,,Very good app
,,Exceptionally great app. I love it
,,"So far these apps written PATRIKAT SOFTECH are the best ever am trying to download each of
 there products."
,,Very informative..great info
,,Best so far on disease details
,,Super and more learn in this app
,,usable....amazing apps
,,my hoby is always to read to solve the problem thanks for giving good knowledge
,,It does not contain ALL blood diseases i.e. Spero cytosis please adjust accirdingly.
,,It has nothing on Hepatitis ! That's also blood dessis ! Please write something on Hepatitis. Thanks
,,"somehow, need to improve"
,,"It has educate me on home management of SCD, it's great,Tks to u"
,,HIV positive thoughts and feelings what medicine taking
,,Not an extensive list of subject matter.
,,blood. sugar. random. 126.0 mg/dl 70-140
,,"Complet info i needed on blood plateletes,i recommend it."
,,I learn more from this document.
,,Us to treat diseases
,,its ok for a basic understanding
,,thank for struggling
,,good app like it
,,I am yet to know
,,Ok nice
,,good work for all
,,Useless stuff
,,nice
,,"Good, useful"
,,nice app
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,amezing stuff
,,good
,,nice
,,good app
,,love it
,,"Another medical app that has an ad bar at the bottom that you can't get rid of which prevents you
 from advancing the app to the next section. Deleting it!"
,,"All blood diseases is extremely misleading! Try a small few, and repeated. This needs to be removed."
,,"Only One Problem"" the text is to small, other than that this APP is absolutely vital!!!"
,,Awesome app! Would definitely recommended.
,,Very good and quality
,,Very good app
,,Exceptionally great app. I love it
,,"So far these apps written PATRIKAT SOFTECH are the best ever am trying to download each of
 there products."
,,Very informative..great info
,,Best so far on disease details
,,Super and more learn in this app
,,usable....amazing apps
,,my hoby is always to read to solve the problem thanks for giving good knowledge
,,It does not contain ALL blood diseases i.e. Spero cytosis please adjust accirdingly.
,,It has nothing on Hepatitis ! That's also blood dessis ! Please write something on Hepatitis. Thanks
,,"somehow, need to improve"
,,"It has educate me on home management of SCD, it's great,Tks to u"
,,HIV positive thoughts and feelings what medicine taking
,,Not an extensive list of subject matter.
,,blood. sugar. random. 126.0 mg/dl 70-140
,,"Complet info i needed on blood plateletes,i recommend it."
,,I learn more from this document.
,,Us to treat diseases
,,its ok for a basic understanding
,,thank for struggling
,,good app like it
,,I am yet to know
,,Ok nice
,,good work for all
,,Useless stuff
,,nice
,,"Good, useful"
,,nice app
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,amezing stuff
,,good
,,nice
,,good app
,,love it
,AHA Guidelines On-the-Go,
,,"I've had this app for maybe a year or two before the Covid-19 pandemic. It used to always be fact and science based, focusing on what you need to know to stay safe! However, recently the ""articles"" have been touting Trump's ""strong and swift action"" in dealing with this virus. I don't need to read a bunch of political BS before getting to the useful information and data! This is really a shameful decline and I will be uninstalling and getting my health and safety information elsewhere."
,,"For ""up-to-the-minute"" reporting, this app is three weeks past due. The CDC direct website is easier to navigate with factual details than this half-assed attempt of an app. My google web browser lends more useful up to date info than this app does. When i attempt to navigate the app it sends me to the CDC website. Think ill save memory space. *delete*"
,,"THE APP IS NOT OPENING UP TO THE PAGES THAT ARE LINKED WITH THE SPECIFIC INFORMATION . ITS A BLANK WHITE PAGE MY ISP INTERNET CONNECTION IS WORKING FINE. ITS YOUR APP NOT WORKING FRIDAY IT WORKED SEVERAL DAYS AGO, BUT NOW ITS USELESS"
,,"This app is worthless. As others have shared, it does not even list Covid19 or Wuhan as a current disease, let alone the pandemic that we are living through as a nation and world. This is an app which by design and definition, it should be fully operational on your smart phone. Otherwise, it offers no benefit for our current crisis."
,,"Ever since the COVID-19 Coronavirus struck the U.S., I want to be more informed and so I installed the CDC app so I can be so. Unfortunately for me however, everytime I tap on notifications fron this app, this app fails to display the news article it notified me about within the app once it starts it."
,,It's a very confusing app. You see a topic and you cick on it and it takes you to page that does not continue the article and you can't find where the continuation of the article is. Considering how important this app should be it really sucks in getting the info you need
,,"App does not stay up to date. When you receive a notification and click, it takes you to a blank page. When you check your states info goes to an error page."
,,"I haven't found anything of the issues that others reviewers had using this app. The app works as its claims and then some. Honestly, I really don't know what are they talking about. Happy with the app, so I give a 5 star rating. Case closed."
,,Bad.....Data is not updated. This app shows my stse has none. Our positive covid-19 started 3 weeks ago and now 500. This app is not worth bothering with.
,,Can't believe that they omitted the corona virus from their disease case counts. No stats what so ever. Super blunder! Unbelievable!!!
,,Same as using the webpage. Useless. Just use the browser and see the same faster. It should have notifications about the alerts they issue but it doesn't.
,,"The app is almost completely USELESS, just like the CDC itself!"
,,"I just downloaded this app and it not only covers the coronavirus pandemic, but issues concerning the public. Very informative."
,,Last update Covid-19 date back to 4 days and it's not even an update. This app is poor and cannot be relied upon.
,,"Very informative, loads of info on anything your looking for. Great app."
,,"Google is really trying a bit too hard with censorship here, by not allowing any Corona virus informational or mapping/tracking apps other those from the government medical industrial complex. 1984."
,,"Most pages don't load at all, they show a ""webpage not available"". This is a government app supposed to provide critical information to citizens..?"
,,"very good, lots of good info, that's needed at this time in steed of listing to rumors floating around"
,,A great app for me I can stay up to the minut on any changes occuring.
,,Google has better info plus the numbers are not correct what a waist of time loading this app
,,Everytime I try to get on the app it says check your Internet connection and I have mobile data. Please fix
,,Screens don't load. White pages. Data fine.
,,"Good information, always-on updates... User-friendly"
,,"App works 100%, must be user error on those poorly rated reviews. Literally gives up to the second into on covid-19 including how many boomers have been eradicated and the plans that trumps space force is working on to gather up all the infected and use them as building material in his space-boarder wall because those gad dang martians are the ones who caused this whole mess because of long unbroken run on sentences full of grammatical errors and weird anger towards the elderly who don't know up"
,,Excellent site for information on current adversity in the medical community effecting the US public and solutions to the public and government solutions to the biological virus affecting the US.
,,Loved that I could go to a site that had true information about this virus and so much morr
,,I like the amount of true document info that the CDC... Control Disease Center has to offer the whole world.
,,Why did the wearing masks thing change overnight exactly? You stated that a bandana doest protect you from Covid-19 because the virus could pass though that and then all of a sudden now it does. Can't believe anything this place states.
,,Can't locate case numbers. Covid-19 not listed.
,,Garbage App! Blank articles and poorly put together!
,,During these trying times it's very effective to ease mind.
,,Very bad. Not organized at all. Platform sucks
,,"It's just links to articles, no different than a website."
,,"It's the only coronavirus app, so make it good. Just won't load. This is dangerous!!"
,,"Everyone needs this app ,especially at this time. Thank you for all the information and FACTS. EASY TO FOLLOW AND UNDERSTAND."
,,"The information for my area; state, country and town is old news. Over 3 weeks old. Useless."
,,"Very informative. I keeps me in the '""know'"" . I work in the medical field so knowing and preparation are key !"
,,No more information than on the website and poorly organized.
,,Worse then using the webpage. Seems to not even be able to load information about state's situation would much rather use the webpage.
,,THIS IS A EXCELLENT APP EVERYONE SHOULD DOWNLOAD IT NOW FOR SAFETY REASONS AND TO KEEP TRACK OF THE VIRUS.
,,Easy to use and understand
,,"Good but BUGS Filters gets reset when I swith apps and I have to set them again. When I press the phone back key, the app closes. And articles are slow to load. I would give 5 star if these are corrected"
,,"I think this app is amazing! If you're looking for an app to get the latest news on outbreaks or infections and diseases in general, it's for you! I think a notification feature on the areas you want would make this app even better. Please take this into account as I wpuld love this to become a thing! Thank you."
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Dharam jeet chaudhary 894@gmail. Com Health
,,Hiv AIDS allocation Nop care
,,See whAt I have
,,It's good for study material
,,It really helps me a lot .
,,please translucent toshiba urdu please
,,Learningfull
,,thanks great job
,,Nice Ok good
,,thanks
,,Ilike
,,Nice application.
,,useful
,,Awesome!
,,very good
,,Nice Niche
,,good knowledge
,,is good
,,Nice app
,,it nice
,,Nice
,,excellent
,,good
,,excellent
,,"It has educate me on home management of SCD, it's great,Tks to u"
,,HIV positive thoughts and feelings what medicine taking
,,Not an extensive list of subject matter.
,,blood. sugar. random. 126.0 mg/dl 70-140
,,"Complet info i needed on blood plateletes,i recommend it."
,,I learn more from this document.
,,Us to treat diseases
,,its ok for a basic understanding
,,thank for struggling
,,good app like it
,,I am yet to know
,,Ok nice
,,good work for all
,,Useless stuff
,,nice
,,"Good, useful"
,,nice app
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,amezing stuff
,,good
,,nice
,,good app
,,love it
,,c
,,good job
,,user friendly
,,very informative
,,excellent...but upgrade into detail explanation ....maybe with diagrams
,,useful
,,informative
,,NICE
,,perfect
,,good
,,"I love this app .. Saw first when i was searching something else and saw this app... After checking
 the ratings of this i qas installed it and now got too much knowledge from this app"
,,Good app. Thanks
,,"Good job, but explanations is deeply scientific"
,,I am a new user.
,,Best App for cardiology
,,Superb app I love it
,,i am new with this app
,,more than perfect
,,deserves each star
,,Excellent
,,Excellent
,,"Since recent android update, icons are vanishingly small and unreadable. Have tried un/re-installing
 to no avail. This previously excellent app has been rendered useless"
,,"The app used to work seamlessly on my MI tab.. but since the last update, the app simply wouldn't 
open and crashes each time. its good to have updates, but not such that the app becomes defunct 
on slightly older devices. kindly make necessary modifications so that it continues to work just as 
perfe..."
,,"Why does a guidelines app need access to my files? No, I don't think so."
,,Didn't work at all on Google Pixel.
,,Crashes on starting on HAWAII MEDIAPAD T8
,,AMAZING very user Friendly informative
,,Its very easy to use and very fast to review
,,Excellent experience
,,Excellent app.
,,very helpful
,,very helpful
,,Best app
,,Fantastic app
,,Useful for me as a medical student. Thanx
,,I am really excited that we have this information at our finger tips. It is so usefull.
,,Great at what it does. 👌👌
,,Good job CDC!! Easy to use!
,,Very informative and easy to use.
,,Live saving!!!
,,"Good app for tracking events involving diseases, natural disasters etc. P.S Whoever this Lorrie Bell character is, she's stupid. Don't listen to her."
,,"It's very nice to have this app to look up information quickly and easily, easy to figure out information if you have a brain People just want something to complain about though, you mad much"
,,Useless
,,Good
,,Informative
,,Excellent
,,good
,,fine
,,nyc
,,great work
,,nice app
,,useful
,,"helpful! wish there were checkboxes for ""risk enhancers"", specifically HIV. If those were there, I'd make it a 5 star rating. otherwise, it's great!"
,,Necessary download!
,,Misleading app
,,very bad
,,Can't get past the 'enter your details' page. Submit button doesn't work.
,,Nice
,,good app
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,,Interesting
,,Good
,,Good work
,,A nice
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
